exp,unit,cluster,mean_pre,mean_post,std_pre,std_post
2023_04_04_hc328_hckcr1-2_2,0,-1,2.3,0.049999999999999996,5.264028875300742,0.4974937185533099
2023_04_04_hc328_hckcr1-2_2,1,-1,7.35,0.0,9.312760063482791,0.0
2023_04_04_hc328_hckcr1-2_2,5,-1,1.4999999999999998,0.0,3.354101966249685,0.0
2023_04_04_hc328_hckcr1-2_2,6,-1,2.0999999999999996,0.049999999999999996,5.79568805233684,0.4974937185533099
2023_04_04_hc328_hckcr1-2_2,7,-1,2.65,0.19999999999999998,5.022698477910056,0.9797958971132711
2023_04_04_hc328_hckcr1-2_2,8,-1,7.249999999999999,0.15,9.175374651751286,0.8529361054615991
2023_04_04_hc328_hckcr1-2_2,9,-1,2.75,0.0,4.548351349665063,0.0
2023_04_04_hc328_hckcr1-2_2,13,-1,3.4,0.049999999999999996,7.9962491206815205,0.4974937185533099
2023_04_04_hc328_hckcr1-2_2,15,-1,2.5,0.5499999999999999,4.873397172404482,2.108909670896314
2023_04_04_hc328_hckcr1-2_2,17,-1,5.5,0.0,5.678908345800273,0.0
2023_04_04_hc328_hckcr1-2_2,18,1,0.0,0.0,0.0,0.0
2023_04_04_hc328_hckcr1-2_2,19,3,2.0,0.0,2.5495097567963922,0.0
2023_04_04_hc328_hckcr1-2_2,23,-1,2.55,0.049999999999999996,6.422421661647576,0.4974937185533099
2023_04_04_hc328_hckcr1-2_2,25,-1,1.4999999999999998,0.0,4.330127018922194,0.0
2023_04_04_hc328_hckcr1-2_2,26,-1,2.9999999999999996,0.049999999999999996,7.0,0.4974937185533099
2023_04_04_hc328_hckcr1-2_2,27,0,8.45,0.0,2.8892040426387333,0.0
2023_04_04_hc328_hckcr1-2_2,28,1,0.5,0.0,1.6583123951776997,0.0
2023_04_04_hc328_hckcr1-2_2,29,-1,0.7499999999999999,0.0,2.5860201081971503,0.0
2023_04_04_hc328_hckcr1-2_2,30,-1,11.25,0.19999999999999998,20.351596988934308,1.9899748742132397
2023_04_04_hc328_hckcr1-2_2,31,-1,5.2,0.0,5.287721626560914,0.0
2023_04_04_hc328_hckcr1-2_2,32,-1,1.3,0.0,3.508560958569767,0.0
2023_04_04_hc328_hckcr1-2_1,0,1,0.7000000000000001,0.0,2.551470164434615,0.0
2023_04_04_hc328_hckcr1-2_1,1,-1,1.4999999999999998,0.0,3.840572873934304,0.0
