,x,y,waveform,color
0,9.429234,5.561916,"[ 0.04341648  0.05389632  0.0673704   0.07785024  0.09132432  0.09581568
  0.10030704  0.1047984   0.11976961  0.13324369  0.12875233  0.13024945
  0.13474081  0.14671777  0.13923217  0.07934736 -0.05838768 -0.17666017
 -0.27097873 -0.32337793 -0.35332033 -0.34882896 -0.32038371 -0.28145858
 -0.22905937 -0.16468321 -0.12426097 -0.09581568 -0.06437616 -0.0299424
 -0.00898272 -0.0074856   0.00149712  0.0074856   0.02694816  0.04042224
  0.04042224  0.0449136   0.05689056  0.07934736  0.08833008  0.07934736
  0.06886752  0.06138192  0.06287904  0.08084448  0.07785024  0.05689056
  0.05539344  0.0598848 ]",11
1,9.478931,5.6539054,"[ 0.04856659  0.06043842  0.07554802  0.08310282  0.08094431  0.09281614
  0.11008426  0.1165598   0.11224277  0.12303535  0.13166941  0.14138273
  0.14246199  0.15541308  0.14354123  0.05180436 -0.0863406  -0.23311961
 -0.30974689 -0.34104534 -0.34860014 -0.33133202 -0.28708247 -0.25254623
 -0.21261372 -0.16188861 -0.11871832 -0.07986505 -0.04748733 -0.02590218
 -0.0151096  -0.00431703  0.00647554  0.01726812  0.02806069  0.03129847
  0.04209104  0.04640807  0.06259693  0.07446876  0.07662728  0.06907248
  0.06475545  0.06691396  0.06799322  0.0658347   0.0658347   0.07338951
  0.0658347   0.05720064]",11
2,0.22507283,10.119474,"[ 7.64138775e-03  9.55173444e-03  1.36453351e-02  1.28266143e-02
  1.69202149e-02  1.30995216e-02  1.47369620e-02  1.33724278e-02
  1.22808019e-02 -5.45813420e-04 -2.18325368e-03 -3.82069388e-03
 -6.00394730e-03  3.82069388e-03  4.36650736e-03 -1.52827755e-02
 -8.18720098e-04  7.34118998e-02  3.38404299e-02 -2.73452503e-01
 -6.09400665e-01 -5.81018344e-01 -2.67448568e-01 -5.45813382e-03
  1.42184397e-01  2.17779538e-01  1.90215975e-01  1.08616866e-01
  4.53025100e-02  1.82847492e-02  4.63941410e-03  1.52827755e-02
  3.08384562e-02  4.74857639e-02  5.70375014e-02  5.43084330e-02
  4.88503002e-02  4.33921633e-02  3.87527523e-02  2.89281095e-02
  3.00197365e-02  2.23783498e-02  1.99221886e-02  1.25537081e-02
  6.54976079e-03  2.45616017e-03  4.91232034e-03 -2.72906710e-04
 -3.82069388e-03 -4.91232034e-03]",0
3,1.2703665,10.554436,"[ 0.03015763  0.02920024  0.02106247  0.01771162  0.01053124  0.0129247
  0.01388208  0.00861646  0.01627555  0.01531816  0.02393463  0.02632809
  0.02297724  0.02201986  0.01723293 -0.00191477 -0.00861646 -0.04643317
 -0.17759492 -0.42603632 -0.58544096 -0.47629905 -0.2422184  -0.07850557
  0.01100993  0.08089903  0.12637482  0.14743729  0.14935207  0.14600122
  0.12541743  0.10626974  0.09238766  0.07946295  0.06749564  0.06127264
  0.0512201   0.03781671  0.02297724  0.01436077  0.01388208  0.0129247
  0.00718039  0.006223    0.00143608 -0.00765908 -0.00095739 -0.01005254
 -0.01340339 -0.01962639]",0
4,9.472432,5.6662154,"[ 0.02430991  0.04254234  0.05621666  0.06837161  0.06989098  0.06533287
  0.05773603  0.07444909  0.09116215  0.10027836  0.11699142  0.15649502
  0.20207609  0.1868824   0.11851079  0.02279054 -0.08964278 -0.19599861
 -0.28564139 -0.36312921 -0.39959407 -0.3600905  -0.27348644 -0.21726978
 -0.18840178 -0.14130132 -0.08660404 -0.05773603 -0.04710044 -0.0197518
 -0.00607748  0.00151937  0.00151937  0.02886801  0.05469729  0.05469729
  0.0592554   0.0790072   0.09268152  0.09572025  0.08204594  0.0835653
  0.09116215  0.08812341  0.08052656  0.06533287  0.05773603  0.04861981
  0.03798423  0.05165855]",11
5,0.20268948,6.9529257,"[ 0.01758222  0.02637333  0.02840204  0.02738769  0.02603521  0.02265401
  0.02400649  0.02738769  0.02772581  0.02637333  0.02975452  0.03245948
  0.03144512  0.04057435  0.09873092  0.19306628  0.18968509  0.00743863
 -0.27184816 -0.46930999 -0.48689223 -0.41013908 -0.30870318 -0.1917138
 -0.09873092 -0.03786939 -0.00540991  0.02366837  0.04057435  0.0500417
  0.05883281  0.07607691  0.07573879  0.07573879  0.07371007  0.08182494
  0.07742939  0.06999076  0.06018529  0.05714221  0.05240854  0.0466605
  0.03043076  0.0206253   0.01825846  0.01859658  0.01792034  0.0189347
  0.01115795  0.00540991]",3
6,5.0176477,6.0946035,"[ 0.03483848  0.03870942  0.03354817  0.02967722  0.04387068  0.04301047
  0.0460212   0.0550534   0.04473089  0.03741911  0.04085995  0.04645131
  0.03913953  0.0365589   0.03440838  0.02623639  0.02408586 -0.00344084
 -0.11354764 -0.35870732 -0.50838377 -0.46967434 -0.34494396 -0.25161124
 -0.1827945  -0.11569816 -0.05978455 -0.00817199  0.03311806  0.06322539
  0.07913926  0.09376282  0.10236492  0.10580576  0.11053691  0.12128953
  0.11225733  0.1010746   0.09032198  0.07569843  0.06322539  0.05677382
  0.05032225  0.04473089  0.03311806  0.03139764  0.02451597  0.01892461
  0.01333325  0.00430105]",4
7,0.6302602,10.335881,"[ 0.02946099  0.04419149  0.05892199  0.02356879  0.          0.0117844
  0.03535319  0.04124539  0.0117844  -0.0088383   0.0058922  -0.02062269
 -0.02062269 -0.0058922  -0.02356879 -0.02651489  0.02062269  0.
 -0.24158014 -0.57448936 -0.60100423 -0.31228653 -0.03240709  0.10016738
  0.17971206  0.19444255  0.13846667  0.05892199  0.02062269  0.0117844
  0.02356879  0.03240709  0.04124539  0.05302979  0.06186808  0.05892199
  0.07659858  0.08543688  0.05597588  0.02356879  0.02356879  0.0088383
  0.0147305   0.02356879  0.02651489 -0.0058922  -0.02946099 -0.02946099
 -0.03535319 -0.0176766 ]",0
8,0.20254236,10.239228,"[ 3.50639659e-03  1.16879891e-02  9.11663152e-03  1.00516708e-02
  8.64911189e-03  9.11663152e-03  7.24655299e-03  1.02854302e-02
  6.07775434e-03  3.27263699e-03  2.80511736e-03  4.67519578e-04
 -2.80511736e-03 -2.33759789e-04  2.10383791e-03 -2.64148544e-02
 -1.51943850e-02  5.39985101e-02  2.94537325e-02 -2.57837045e-01
 -5.97022449e-01 -5.62192259e-01 -2.20435475e-01  6.52189813e-02
  2.27915789e-01  2.77940378e-01  2.23240584e-01  1.13841009e-01
  4.09079604e-02  1.05191904e-02  1.28567877e-02  1.96358211e-02
  2.78174142e-02  3.50639680e-02  3.81028443e-02  3.85703648e-02
  3.55314851e-02  2.61810959e-02  2.08046206e-02  1.91683023e-02
  1.72982238e-02  1.02854302e-02  9.58415115e-03  1.63631849e-03
  3.27263699e-03 -2.10383791e-03 -5.14271508e-03 -7.24655299e-03
 -5.61023471e-03 -1.02854302e-02]",0
9,0.38917795,10.656477,"[-0.03110874 -0.01382611  0.04493484  0.03802179  0.03456526  0.01036958
  0.02073916 -0.00691305 -0.00345653  0.01382611  0.02419568  0.00345653
 -0.02419568  0.00345653  0.00345653 -0.02765221 -0.03802179 -0.03456526
 -0.17282632 -0.45626147 -0.58415294 -0.41478317 -0.10023926  0.14171758
  0.22467421  0.25578293  0.22121768  0.15208716  0.08641316  0.03456526
  0.02419568  0.03110874  0.02419568  0.02073916  0.03110874  0.03802179
  0.01036958  0.02073916  0.01036958  0.01728263  0.01036958  0.02765221
  0.02419568  0.00691305  0.02073916  0.03456526  0.02073916 -0.01382611
 -0.02419568 -0.02073916]",0
