"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",14.1234119415283,1
2,"pre",26.0240879058838,1
3,"pre",21.8678419930594,1
4,"pre",NA,1
5,"pre",17.0871076583862,1
6,"pre",29.0936401623946,1
7,"pre",58.6418661820261,1
8,"pre",26.018226369222,1
9,"pre",NA,1
10,"pre",18.9609405802584,1
11,"pre",23.4497894807295,1
12,"pre",35.9969044233623,1
13,"pre",NA,1
14,"pre",13.689079284668,1
15,"pre",22.1733671019349,1
16,"pre",20.1403420075126,1
17,"pre",31.6226308005197,1
1,"stim",13.5646906958686,1
2,"stim",NA,1
3,"stim",22.6922175089518,1
4,"stim",15.2739744186401,1
5,"stim",NA,1
6,"stim",28.6729192521837,1
7,"stim",NA,1
8,"stim",26.6819458007812,1
9,"stim",NA,1
10,"stim",18.8563936840404,1
11,"stim",19.1047024726868,1
12,"stim",36.3852163372618,1
13,"stim",NA,1
14,"stim",14.572970867157,1
15,"stim",22.9694759798985,1
16,"stim",20.8984643344221,1
17,"stim",32.5155086517334,1
1,"post",13.4235484063088,1
2,"post",30.0535398947226,1
3,"post",19.1622809935839,1
4,"post",21.2464691996574,1
5,"post",18.2181986740657,1
6,"post",28.2140702959128,1
7,"post",53.2092030918563,1
8,"post",24.2811173749116,1
9,"post",43.6046560132826,1
10,"post",18.5164443733278,1
11,"post",31.6872735186986,1
12,"post",33.0730433334172,1
13,"post",28.9766765800682,1
14,"post",15.4832320335584,1
15,"post",24.439463295059,1
16,"post",20.5488621102701,1
17,"post",30.2366225220436,1
1,"pre",14.1234119415283,2
2,"pre",30.3150156461276,2
3,"pre",22.2336953970102,2
4,"pre",15.2739744186401,2
5,"pre",17.0871076583862,2
6,"pre",28.8682498931885,2
7,"pre",58.5630186398824,2
8,"pre",25.7521331575182,2
9,"pre",53.105094909668,2
10,"pre",18.9713197296316,2
11,"pre",23.1960970913922,2
12,"pre",36.0055122905307,2
13,"pre",28.9422490861681,2
14,"pre",14.0479027430216,2
15,"pre",22.4060968726572,2
16,"pre",20.0881849571511,2
17,"pre",34.6603460947673,2
1,"stim",13.6465632915497,2
2,"stim",NA,2
3,"stim",22.9594478607178,2
4,"stim",NA,2
5,"stim",NA,2
6,"stim",29.3815312221132,2
7,"stim",NA,2
8,"stim",25.3839079538981,2
9,"stim",NA,2
10,"stim",18.8562013049458,2
11,"stim",25.9552698135376,2
12,"stim",36.482016843908,2
13,"stim",NA,2
14,"stim",15.0221691131592,2
15,"stim",23.0381710295584,2
16,"stim",21.0954251970564,2
17,"stim",NA,2
1,"post",13.4189605627741,2
2,"post",29.7563944244385,2
3,"post",19.0063174374898,2
4,"post",21.2464691996574,2
5,"post",18.2181986740657,2
6,"post",28.2614774981956,2
7,"post",53.1330856989665,2
8,"post",24.2232639565823,2
9,"post",43.061773790632,2
10,"post",18.51589819816,2
11,"post",31.7867980984674,2
12,"post",33.0709743018289,2
13,"post",28.9877425602504,2
14,"post",15.5038268036313,2
15,"post",24.44802539231,2
16,"post",20.5435678929165,2
17,"post",29.8130776164978,2
1,"pre",13.8117967181736,3
2,"pre",27.1365547180176,3
3,"pre",22.408176612854,3
4,"pre",19.0287647247314,3
5,"pre",17.0022558106316,3
6,"pre",29.1744100086725,3
7,"pre",59.0862012376972,3
8,"pre",25.8322762548923,3
9,"pre",39.5357065200806,3
10,"pre",18.9609405802584,3
11,"pre",23.0670616076543,3
12,"pre",35.8520600795746,3
13,"pre",25.3306655883789,3
14,"pre",NA,3
15,"pre",22.5199287026017,3
16,"pre",19.992050409317,3
17,"pre",33.4233769310845,3
1,"stim",13.399254904853,3
2,"stim",29.6756591796875,3
3,"stim",22.1514784495036,3
4,"stim",NA,3
5,"stim",NA,3
6,"stim",28.6845105552673,3
7,"stim",NA,3
8,"stim",26.2553298656757,3
9,"stim",NA,3
10,"stim",18.8679036546028,3
11,"stim",NA,3
12,"stim",36.8308546543121,3
13,"stim",NA,3
14,"stim",14.1310250759125,3
15,"stim",23.4347701684023,3
16,"stim",21.2199606214251,3
17,"stim",24.807767868042,3
1,"post",13.4375110697523,3
2,"post",30.2964601805716,3
3,"post",19.1057229696536,3
4,"post",21.5180889058996,3
5,"post",18.3565089159673,3
6,"post",28.2149809046346,3
7,"post",52.5649201189885,3
8,"post",24.1233921789561,3
9,"post",44.7271248389935,3
10,"post",18.51589819816,3
11,"post",32.4383953461736,3
12,"post",33.0515965467308,3
13,"post",29.5463657975197,3
14,"post",15.4832320335584,3
15,"post",24.4371329123324,3
16,"post",20.5427182888985,3
17,"post",29.9200435766653,3
1,"pre",13.846809387207,4
2,"pre",26.7725391387939,4
3,"pre",22.0583997453962,4
4,"pre",20.5820598602295,4
