"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",0.5,1
2,"pre",0.1,1
3,"pre",0.6,1
4,"pre",1.2,1
5,"pre",4.2,1
6,"pre",0.4,1
7,"pre",0.2,1
8,"pre",6,1
9,"pre",0.9,1
10,"pre",2.4,1
11,"pre",6.8,1
12,"pre",6.7,1
13,"pre",2.2,1
14,"pre",1,1
15,"pre",6.9,1
16,"pre",2.9,1
17,"pre",0.8,1
18,"pre",0.2,1
19,"pre",0.5,1
20,"pre",0.3,1
21,"pre",4.6,1
22,"pre",0.7,1
23,"pre",0.1,1
24,"pre",0.2,1
25,"pre",0.8,1
26,"pre",0.3,1
27,"pre",0.7,1
28,"pre",0.2,1
29,"pre",1.4,1
30,"pre",0.3,1
31,"pre",13.5,1
32,"pre",8,1
33,"pre",3.7,1
34,"pre",0.7,1
35,"pre",1.5,1
36,"pre",0.5,1
37,"pre",0.5,1
38,"pre",0.7,1
39,"pre",0,1
40,"pre",0.4,1
41,"pre",0.2,1
42,"pre",4.6,1
43,"pre",0.2,1
44,"pre",0.9,1
45,"pre",5,1
46,"pre",5.7,1
47,"pre",1.4,1
48,"pre",2,1
49,"pre",0.3,1
50,"pre",0.2,1
51,"pre",0.4,1
52,"pre",0.9,1
53,"pre",0.2,1
54,"pre",0.1,1
55,"pre",0,1
56,"pre",3.9,1
57,"pre",1,1
1,"stim",0.2,1
2,"stim",0.9,1
3,"stim",0.6,1
4,"stim",0.8,1
5,"stim",1.3,1
6,"stim",0.2,1
7,"stim",4.4,1
8,"stim",6,1
9,"stim",0.2,1
10,"stim",1.7,1
11,"stim",1.5,1
12,"stim",1.6,1
13,"stim",1,1
14,"stim",1.1,1
15,"stim",6.7,1
16,"stim",1.5,1
17,"stim",0.1,1
18,"stim",0,1
19,"stim",0.2,1
20,"stim",0.2,1
21,"stim",4,1
22,"stim",0.1,1
23,"stim",1,1
24,"stim",1,1
25,"stim",0.9,1
26,"stim",0.1,1
27,"stim",1.9,1
28,"stim",0.4,1
29,"stim",3.9,1
30,"stim",0.3,1
31,"stim",13.4,1
32,"stim",1.9,1
33,"stim",3.8,1
34,"stim",1,1
35,"stim",1.1,1
36,"stim",0.2,1
37,"stim",0.7,1
38,"stim",0.8,1
39,"stim",0,1
40,"stim",0.3,1
41,"stim",0.6,1
42,"stim",4.6,1
43,"stim",0.1,1
44,"stim",0.7,1
45,"stim",3,1
46,"stim",6.1,1
47,"stim",1.5,1
48,"stim",1.4,1
49,"stim",4.4,1
50,"stim",0.3,1
51,"stim",0.4,1
52,"stim",0,1
53,"stim",0.1,1
54,"stim",0,1
55,"stim",0.1,1
56,"stim",2.9,1
57,"stim",0.5,1
1,"post",0.1,1
2,"post",0,1
3,"post",0.2,1
4,"post",0.8,1
5,"post",2.4,1
6,"post",0.2,1
7,"post",6.2,1
8,"post",6,1
9,"post",0.1,1
10,"post",2.2,1
11,"post",5.3,1
12,"post",4.5,1
13,"post",0.8,1
14,"post",1.1,1
15,"post",7.5,1
16,"post",3,1
17,"post",0.8,1
18,"post",0.2,1
19,"post",0.1,1
20,"post",0.2,1
21,"post",3.6,1
22,"post",0.5,1
23,"post",0,1
24,"post",0,1
25,"post",0.9,1
26,"post",0.1,1
27,"post",1.2,1
28,"post",0.1,1
29,"post",4.2,1
30,"post",0.5,1
31,"post",13.5,1
32,"post",5.9,1
33,"post",2.9,1
34,"post",0.6,1
35,"post",0.2,1
36,"post",0.1,1
37,"post",0.1,1
38,"post",1,1
39,"post",0.6,1
40,"post",0.3,1
41,"post",0.2,1
42,"post",4.2,1
43,"post",0.2,1
44,"post",0.8,1
45,"post",4.6,1
46,"post",5.4,1
47,"post",1.5,1
48,"post",1.4,1
49,"post",6.1,1
50,"post",0.1,1
51,"post",0.2,1
52,"post",0,1
53,"post",0.1,1
54,"post",0.1,1
55,"post",0,1
56,"post",3,1
57,"post",0.7,1
1,"pre",0.1,2
2,"pre",0,2
3,"pre",0,2
4,"pre",0.7,2
5,"pre",2.5,2
6,"pre",0.2,2
7,"pre",3.2,2
8,"pre",6,2
9,"pre",0.5,2
10,"pre",2.4,2
11,"pre",5.4,2
12,"pre",5.2,2
13,"pre",2.1,2
14,"pre",0.8,2
15,"pre",8,2
16,"pre",2.5,2
17,"pre",0.5,2
18,"pre",0.3,2
19,"pre",0,2
20,"pre",0.2,2
21,"pre",2.5,2
22,"pre",0.6,2
23,"pre",0.2,2
24,"pre",0,2
25,"pre",0.6,2
26,"pre",0.3,2
27,"pre",1,2
28,"pre",0.2,2
29,"pre",3.9,2
30,"pre",0.2,2
31,"pre",13.7,2
32,"pre",5.9,2
33,"pre",1.6,2
34,"pre",0.6,2
35,"pre",0.3,2
36,"pre",0.1,2
37,"pre",0.2,2
38,"pre",0.5,2
39,"pre",0.1,2
