"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",6,1
2,"pre",4.3,1
3,"pre",6.6,1
4,"pre",15,1
5,"pre",24.2,1
6,"pre",3,1
7,"pre",6,1
8,"pre",2.9,1
9,"pre",6.1,1
10,"pre",4.5,1
11,"pre",3.6,1
12,"pre",10.9,1
13,"pre",0.2,1
14,"pre",4.7,1
15,"pre",12.3,1
16,"pre",5.4,1
17,"pre",0.9,1
18,"pre",2.9,1
19,"pre",4,1
20,"pre",0.5,1
21,"pre",3.3,1
22,"pre",9.7,1
23,"pre",9.5,1
24,"pre",1.8,1
25,"pre",11.2,1
26,"pre",0.3,1
27,"pre",3,1
28,"pre",0.5,1
29,"pre",1.4,1
30,"pre",5,1
31,"pre",0.7,1
32,"pre",0.3,1
33,"pre",3.7,1
34,"pre",0.8,1
35,"pre",0.6,1
36,"pre",4.2,1
37,"pre",4.3,1
38,"pre",0.8,1
39,"pre",0.8,1
40,"pre",0.6,1
41,"pre",10.8,1
42,"pre",6.7,1
43,"pre",4.6,1
44,"pre",3.2,1
45,"pre",7.9,1
46,"pre",0.6,1
47,"pre",0.6,1
48,"pre",6.2,1
49,"pre",3.5,1
50,"pre",3,1
51,"pre",1,1
52,"pre",5.4,1
53,"pre",0.8,1
54,"pre",0.9,1
55,"pre",2.7,1
56,"pre",0.7,1
57,"pre",2,1
58,"pre",10.8,1
59,"pre",5.5,1
60,"pre",9.4,1
61,"pre",0.4,1
62,"pre",1.5,1
63,"pre",0.6,1
64,"pre",4.2,1
65,"pre",0.1,1
66,"pre",0,1
67,"pre",0.8,1
68,"pre",0.7,1
69,"pre",1.8,1
70,"pre",8.7,1
71,"pre",1.6,1
72,"pre",6,1
73,"pre",0.8,1
74,"pre",2.4,1
75,"pre",0,1
76,"pre",0.5,1
77,"pre",3.4,1
78,"pre",2.8,1
79,"pre",0.9,1
80,"pre",0.4,1
81,"pre",1.4,1
82,"pre",0.8,1
83,"pre",9.3,1
84,"pre",19.8,1
85,"pre",42.3,1
86,"pre",9.3,1
87,"pre",1.3,1
88,"pre",7.8,1
89,"pre",2.7,1
90,"pre",22.9,1
91,"pre",1,1
92,"pre",0.2,1
93,"pre",1.4,1
94,"pre",4.9,1
95,"pre",0,1
96,"pre",1.1,1
97,"pre",0.9,1
98,"pre",1.3,1
99,"pre",3.5,1
100,"pre",6.5,1
101,"pre",1.7,1
102,"pre",1.8,1
103,"pre",5.2,1
104,"pre",3.9,1
105,"pre",3.5,1
106,"pre",0.7,1
107,"pre",5.6,1
108,"pre",1.8,1
109,"pre",3.8,1
110,"pre",1.4,1
111,"pre",1.1,1
112,"pre",1.8,1
113,"pre",12.2,1
114,"pre",5.8,1
115,"pre",10,1
116,"pre",0.4,1
117,"pre",0.2,1
118,"pre",0.6,1
119,"pre",0.5,1
120,"pre",1,1
121,"pre",1.1,1
122,"pre",0.8,1
123,"pre",6.2,1
124,"pre",1.2,1
125,"pre",0.2,1
126,"pre",4.2,1
127,"pre",0.9,1
128,"pre",10.2,1
129,"pre",23.4,1
130,"pre",3.9,1
131,"pre",0.1,1
132,"pre",0.1,1
133,"pre",1.7,1
134,"pre",5.4,1
135,"pre",5.7,1
136,"pre",3.3,1
137,"pre",6.2,1
138,"pre",8.4,1
139,"pre",6.5,1
140,"pre",9.5,1
141,"pre",8.5,1
142,"pre",2.1,1
143,"pre",0.7,1
144,"pre",6.4,1
145,"pre",0.2,1
146,"pre",5.4,1
147,"pre",4,1
148,"pre",1.3,1
149,"pre",2.8,1
150,"pre",4.4,1
151,"pre",11.7,1
152,"pre",9.9,1
153,"pre",1.2,1
154,"pre",3.6,1
155,"pre",0.4,1
156,"pre",0.4,1
157,"pre",6.6,1
158,"pre",2.2,1
159,"pre",2.7,1
160,"pre",7.6,1
161,"pre",10.5,1
162,"pre",0.6,1
163,"pre",0.3,1
164,"pre",0.3,1
165,"pre",5.7,1
166,"pre",0.6,1
167,"pre",0.3,1
168,"pre",4.8,1
169,"pre",0.9,1
170,"pre",7,1
171,"pre",6.8,1
172,"pre",5.4,1
173,"pre",2.6,1
174,"pre",3.7,1
175,"pre",5.2,1
176,"pre",4.3,1
177,"pre",3.3,1
178,"pre",4.7,1
179,"pre",6.3,1
180,"pre",0.4,1
181,"pre",2,1
182,"pre",1.1,1
183,"pre",1.1,1
184,"pre",1.7,1
185,"pre",4,1
186,"pre",9.8,1
187,"pre",0.1,1
188,"pre",1.3,1
189,"pre",9.1,1
190,"pre",1.8,1
191,"pre",0.7,1
192,"pre",0.9,1
193,"pre",4.1,1
194,"pre",0.9,1
195,"pre",2.6,1
196,"pre",0.3,1
197,"pre",2.3,1
198,"pre",0.3,1
199,"pre",0.3,1
200,"pre",2.8,1
201,"pre",0.4,1
202,"pre",1.2,1
203,"pre",4.9,1
204,"pre",0.2,1
205,"pre",0.7,1
206,"pre",5.1,1
207,"pre",1.3,1
208,"pre",3,1
209,"pre",4,1
210,"pre",4.2,1
211,"pre",1.1,1
212,"pre",0.8,1
1,"stim",1.2,1
2,"stim",3,1
3,"stim",5.9,1
4,"stim",12,1
5,"stim",20.1,1
6,"stim",0.1,1
7,"stim",4.2,1
8,"stim",2.2,1
9,"stim",7.8,1
10,"stim",4.9,1
11,"stim",5.5,1
12,"stim",11.5,1
13,"stim",0,1
14,"stim",1.6,1
15,"stim",13.5,1
16,"stim",2.5,1
17,"stim",0.8,1
18,"stim",1.9,1
19,"stim",1.8,1
20,"stim",0,1
21,"stim",2.5,1
22,"stim",2.8,1
23,"stim",5.5,1
24,"stim",0.6,1
25,"stim",11.4,1
26,"stim",0,1
27,"stim",1,1
28,"stim",0,1
29,"stim",0,1
30,"stim",5.6,1
31,"stim",0.1,1
32,"stim",0.1,1
33,"stim",2.3,1
34,"stim",0.1,1
35,"stim",0.1,1
36,"stim",2.1,1
37,"stim",0.1,1
38,"stim",1,1
39,"stim",0,1
40,"stim",0.1,1
41,"stim",7.4,1
42,"stim",5.3,1
43,"stim",5,1
44,"stim",2.4,1
45,"stim",6.9,1
46,"stim",0,1
47,"stim",0.3,1
48,"stim",6.6,1
49,"stim",1.1,1
50,"stim",7.4,1
51,"stim",0.2,1
52,"stim",4.9,1
53,"stim",0.2,1
54,"stim",0.2,1
55,"stim",4.4,1
56,"stim",1.5,1
57,"stim",1.6,1
58,"stim",16,1
59,"stim",3.4,1
60,"stim",7.3,1
61,"stim",0.1,1
62,"stim",0.6,1
63,"stim",0,1
64,"stim",3.2,1
65,"stim",0.1,1
66,"stim",0.2,1
67,"stim",0.3,1
68,"stim",0.4,1
69,"stim",1.7,1
70,"stim",4.7,1
71,"stim",2.4,1
72,"stim",6.5,1
73,"stim",0.2,1
74,"stim",0.5,1
75,"stim",0,1
76,"stim",0,1
77,"stim",3.3,1
78,"stim",3.4,1
79,"stim",0,1
80,"stim",0.1,1
81,"stim",1.3,1
82,"stim",0,1
83,"stim",7.7,1
84,"stim",16.9,1
85,"stim",43.3,1
86,"stim",8.6,1
87,"stim",0,1
88,"stim",7.6,1
89,"stim",0.8,1
90,"stim",20.1,1
91,"stim",0,1
92,"stim",0,1
93,"stim",0.3,1
94,"stim",1.4,1
95,"stim",0,1
96,"stim",0.1,1
97,"stim",0,1
98,"stim",0.5,1
99,"stim",1.7,1
100,"stim",5.8,1
101,"stim",0.8,1
102,"stim",0,1
103,"stim",0,1
104,"stim",1.5,1
105,"stim",1.1,1
106,"stim",0.1,1
107,"stim",5.1,1
108,"stim",0.4,1
109,"stim",0.8,1
110,"stim",0.2,1
111,"stim",0.2,1
112,"stim",1.1,1
113,"stim",11,1
114,"stim",3.9,1
115,"stim",10.8,1
116,"stim",0,1
117,"stim",0,1
118,"stim",0,1
119,"stim",0,1
120,"stim",0,1
121,"stim",0.6,1
122,"stim",0.4,1
123,"stim",5.6,1
124,"stim",0.1,1
125,"stim",1.1,1
126,"stim",5.4,1
127,"stim",0,1
128,"stim",11.1,1
129,"stim",20,1
130,"stim",1.4,1
131,"stim",0.1,1
132,"stim",0,1
133,"stim",0,1
134,"stim",3.6,1
135,"stim",4.7,1
136,"stim",2.7,1
137,"stim",3.8,1
138,"stim",5.9,1
139,"stim",3,1
140,"stim",8,1
141,"stim",8.5,1
142,"stim",0,1
143,"stim",1.1,1
144,"stim",4.6,1
145,"stim",0.2,1
146,"stim",3.2,1
147,"stim",4.4,1
148,"stim",0,1
149,"stim",0.3,1
150,"stim",4,1
151,"stim",4,1
152,"stim",13.4,1
153,"stim",0.4,1
154,"stim",3.8,1
155,"stim",0,1
156,"stim",0.2,1
157,"stim",4.6,1
158,"stim",1.3,1
159,"stim",3.6,1
160,"stim",5,1
161,"stim",11.1,1
162,"stim",0.9,1
163,"stim",0.2,1
164,"stim",0.1,1
165,"stim",4.5,1
166,"stim",0,1
167,"stim",0.1,1
168,"stim",4.1,1
169,"stim",0.1,1
170,"stim",1,1
171,"stim",0.8,1
172,"stim",3.8,1
173,"stim",0.1,1
174,"stim",1.4,1
175,"stim",4.3,1
176,"stim",2.5,1
177,"stim",3.3,1
178,"stim",3.5,1
179,"stim",3.1,1
180,"stim",0.1,1
181,"stim",0.7,1
182,"stim",0,1
183,"stim",0.2,1
184,"stim",0.3,1
185,"stim",1.3,1
186,"stim",8.4,1
187,"stim",0,1
188,"stim",1.3,1
189,"stim",8.5,1
190,"stim",0.1,1
191,"stim",0.2,1
192,"stim",0.3,1
193,"stim",0.7,1
194,"stim",0.5,1
195,"stim",1.1,1
196,"stim",0.1,1
197,"stim",1,1
198,"stim",0.4,1
199,"stim",0,1
200,"stim",2,1
201,"stim",0.5,1
202,"stim",0.1,1
203,"stim",5,1
204,"stim",0,1
205,"stim",0,1
206,"stim",0.9,1
207,"stim",1.1,1
208,"stim",2.2,1
209,"stim",3.4,1
210,"stim",3.9,1
211,"stim",1.4,1
212,"stim",0.4,1
1,"post",10.1,1
2,"post",5.6,1
3,"post",9.9,1
4,"post",11.6,1
5,"post",25.6,1
6,"post",9.1,1
7,"post",5.1,1
8,"post",1.6,1
9,"post",9.2,1
10,"post",14.7,1
11,"post",2.4,1
12,"post",12.6,1
13,"post",0.5,1
14,"post",8.5,1
15,"post",12.5,1
16,"post",3.7,1
17,"post",1.9,1
18,"post",4.7,1
19,"post",3.1,1
20,"post",1.7,1
21,"post",1.8,1
22,"post",4.5,1
23,"post",12,1
24,"post",9.8,1
25,"post",10.1,1
26,"post",1.7,1
27,"post",9.9,1
28,"post",4.1,1
29,"post",1.9,1
30,"post",4.6,1
31,"post",2.3,1
32,"post",0.2,1
33,"post",5.1,1
34,"post",0.7,1
35,"post",1.5,1
36,"post",4,1
37,"post",15.6,1
38,"post",2.6,1
39,"post",2.3,1
40,"post",2.1,1
41,"post",7.7,1
42,"post",9,1
43,"post",3.5,1
44,"post",3.8,1
45,"post",5.2,1
46,"post",3.8,1
47,"post",2.5,1
48,"post",7.8,1
49,"post",6.4,1
50,"post",9.1,1
51,"post",1.4,1
52,"post",7.7,1
53,"post",1.1,1
54,"post",3.9,1
55,"post",18,1
56,"post",2.5,1
57,"post",5.6,1
58,"post",11.8,1
59,"post",9,1
60,"post",9.1,1
61,"post",1.2,1
62,"post",1.2,1
63,"post",2.5,1
64,"post",8.1,1
65,"post",0.4,1
66,"post",0,1
67,"post",1.4,1
68,"post",0.7,1
69,"post",7.2,1
70,"post",13.8,1
71,"post",8.5,1
72,"post",13,1
73,"post",0.5,1
74,"post",5.5,1
75,"post",0.4,1
76,"post",1.2,1
