"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",0,1
2,"pre",0,1
3,"pre",0,1
4,"pre",0.1,1
5,"pre",0.1,1
6,"pre",0,1
7,"pre",0.2,1
8,"pre",8.7,1
9,"pre",2.5,1
10,"pre",0.1,1
11,"pre",0.1,1
12,"pre",3.6,1
13,"pre",0.1,1
14,"pre",2.8,1
15,"pre",0.2,1
16,"pre",2.9,1
17,"pre",15.4,1
18,"pre",0.3,1
19,"pre",0.4,1
20,"pre",3.6,1
21,"pre",1,1
22,"pre",2.6,1
23,"pre",1,1
1,"stim",2.4,1
2,"stim",7.6,1
3,"stim",5.8,1
4,"stim",1.3,1
5,"stim",0,1
6,"stim",3.3,1
7,"stim",0.3,1
8,"stim",15.9,1
9,"stim",9.4,1
10,"stim",2.7,1
11,"stim",6.8,1
12,"stim",3.8,1
13,"stim",4.1,1
14,"stim",2.6,1
15,"stim",6,1
16,"stim",6.1,1
17,"stim",14.1,1
18,"stim",1,1
19,"stim",4.3,1
20,"stim",3.9,1
21,"stim",1.5,1
22,"stim",11.1,1
23,"stim",3.5,1
1,"post",0.1,1
2,"post",1.4,1
3,"post",2.3,1
4,"post",0.2,1
5,"post",0.1,1
6,"post",1.7,1
7,"post",0,1
8,"post",5.7,1
9,"post",2.3,1
10,"post",0.1,1
11,"post",0,1
12,"post",2.9,1
13,"post",0.1,1
14,"post",5,1
15,"post",2,1
16,"post",4.2,1
17,"post",15.1,1
18,"post",0.9,1
19,"post",0.7,1
20,"post",9.7,1
21,"post",1.1,1
22,"post",3.4,1
23,"post",1.7,1
1,"pre",0.2,10
2,"pre",1.2,10
3,"pre",0.2,10
4,"pre",0,10
5,"pre",0.1,10
6,"pre",0,10
7,"pre",0.6,10
8,"pre",6.7,10
9,"pre",2.4,10
10,"pre",0.4,10
11,"pre",0,10
12,"pre",2.8,10
13,"pre",4,10
14,"pre",7.3,10
15,"pre",0.4,10
16,"pre",2.9,10
17,"pre",9.5,10
18,"pre",0,10
19,"pre",1.1,10
20,"pre",14.7,10
21,"pre",1.4,10
22,"pre",6.4,10
23,"pre",1.9,10
1,"stim",0.5,10
2,"stim",0.5,10
3,"stim",0.2,10
4,"stim",0,10
5,"stim",0.1,10
6,"stim",0.1,10
7,"stim",0.2,10
8,"stim",6.9,10
9,"stim",2.5,10
10,"stim",0,10
11,"stim",0.2,10
12,"stim",1.3,10
13,"stim",5.6,10
14,"stim",9.6,10
15,"stim",0.4,10
16,"stim",2.3,10
17,"stim",5.8,10
18,"stim",0.1,10
19,"stim",0.1,10
20,"stim",2.1,10
21,"stim",0.5,10
22,"stim",5.1,10
23,"stim",1.2,10
1,"post",0.1,10
2,"post",0.5,10
3,"post",0.1,10
4,"post",0,10
5,"post",0.1,10
6,"post",0.3,10
7,"post",0.6,10
8,"post",7.3,10
9,"post",3.1,10
10,"post",0,10
11,"post",0,10
12,"post",3,10
13,"post",5.7,10
14,"post",9.5,10
15,"post",0.4,10
16,"post",1.6,10
17,"post",2.2,10
18,"post",0,10
19,"post",1.9,10
20,"post",16.3,10
21,"post",1.4,10
22,"post",6.9,10
23,"post",0.5,10
1,"pre",1.6,2
2,"pre",2.8,2
3,"pre",2.2,2
4,"pre",1.4,2
5,"pre",0.1,2
6,"pre",6.6,2
7,"pre",0.1,2
8,"pre",12.9,2
9,"pre",11.9,2
10,"pre",1.5,2
11,"pre",3.7,2
12,"pre",5.2,2
13,"pre",2.9,2
14,"pre",3.7,2
15,"pre",5.5,2
16,"pre",6.4,2
17,"pre",12.4,2
18,"pre",0.8,2
19,"pre",4.4,2
20,"pre",7.8,2
21,"pre",1.8,2
22,"pre",7.8,2
23,"pre",4.5,2
1,"stim",0.1,2
2,"stim",0.6,2
3,"stim",0,2
4,"stim",0.2,2
5,"stim",0,2
6,"stim",5.5,2
7,"stim",0,2
8,"stim",4.6,2
9,"stim",4.2,2
10,"stim",0,2
11,"stim",0.2,2
12,"stim",2,2
13,"stim",0,2
14,"stim",2.5,2
15,"stim",1.6,2
16,"stim",4.7,2
17,"stim",11.7,2
18,"stim",1.1,2
19,"stim",0,2
20,"stim",1.9,2
21,"stim",0.3,2
22,"stim",3,2
23,"stim",0.9,2
1,"post",0,2
2,"post",0,2
3,"post",0.1,2
4,"post",0,2
5,"post",0.2,2
6,"post",5.1,2
7,"post",0,2
8,"post",2.9,2
