"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",38.1,1
2,"pre",0.2,1
3,"pre",1.5,1
4,"pre",33.4,1
5,"pre",6.5,1
6,"pre",6.5,1
7,"pre",8.9,1
8,"pre",6.2,1
9,"pre",4.8,1
1,"stim",34.8,1
2,"stim",0.2,1
3,"stim",0.2,1
4,"stim",32.4,1
5,"stim",0.1,1
6,"stim",0.1,1
7,"stim",8.7,1
8,"stim",0.2,1
9,"stim",7.3,1
1,"post",34.6,1
2,"post",0,1
3,"post",0,1
4,"post",32.4,1
5,"post",6.7,1
6,"post",6.7,1
7,"post",7.9,1
8,"post",6.8,1
9,"post",5.2,1
1,"pre",34.6,10
2,"pre",0.1,10
3,"pre",0.2,10
4,"pre",23.4,10
5,"pre",7.2,10
6,"pre",7.2,10
7,"pre",9.3,10
8,"pre",7.3,10
9,"pre",3.6,10
1,"stim",33.6,10
2,"stim",0.5,10
3,"stim",0.2,10
4,"stim",22.7,10
5,"stim",0,10
6,"stim",0,10
7,"stim",8.4,10
8,"stim",0,10
9,"stim",4.6,10
1,"post",33.4,10
2,"post",0.2,10
3,"post",0.8,10
4,"post",22.3,10
5,"post",7.4,10
6,"post",7.4,10
7,"post",7.8,10
8,"post",7.3,10
9,"post",3.9,10
1,"pre",35.3,2
2,"pre",0.2,2
3,"pre",1.4,2
4,"pre",32.4,2
5,"pre",6.7,2
6,"pre",6.7,2
7,"pre",8.6,2
8,"pre",6.9,2
9,"pre",3.9,2
1,"stim",34.9,2
2,"stim",0.1,2
3,"stim",0.2,2
4,"stim",32,2
5,"stim",0.3,2
6,"stim",0.3,2
7,"stim",8.8,2
8,"stim",0.4,2
9,"stim",7.7,2
1,"post",34.6,2
2,"post",0.1,2
3,"post",1.2,2
4,"post",32.1,2
5,"post",7.3,2
6,"post",7.3,2
7,"post",7.6,2
8,"post",7.3,2
9,"post",4.2,2
1,"pre",35,3
2,"pre",0.2,3
3,"pre",1.6,3
4,"pre",31.6,3
5,"pre",7.2,3
6,"pre",7.2,3
7,"pre",8.8,3
8,"pre",7.3,3
9,"pre",4.3,3
1,"stim",34.7,3
2,"stim",0.3,3
3,"stim",0.3,3
4,"stim",30.8,3
5,"stim",0.1,3
6,"stim",0.1,3
7,"stim",8.7,3
8,"stim",0.3,3
9,"stim",5.6,3
1,"post",34.2,3
2,"post",0,3
3,"post",0.4,3
4,"post",29.9,3
5,"post",7.6,3
6,"post",7.6,3
7,"post",7.9,3
8,"post",7.5,3
9,"post",5.3,3
1,"pre",34.6,4
2,"pre",0.5,4
3,"pre",1.5,4
4,"pre",29.5,4
5,"pre",7.2,4
6,"pre",7.2,4
7,"pre",8.8,4
8,"pre",7.5,4
9,"pre",4.3,4
1,"stim",34.6,4
2,"stim",0.5,4
3,"stim",0.3,4
4,"stim",29.1,4
5,"stim",0.1,4
6,"stim",0.1,4
7,"stim",8.5,4
8,"stim",0.3,4
9,"stim",7.1,4
1,"post",34.4,4
2,"post",0.3,4
3,"post",0.1,4
4,"post",29.2,4
5,"post",6.5,4
6,"post",6.5,4
7,"post",8,4
8,"post",6.6,4
9,"post",6.5,4
1,"pre",34.4,5
2,"pre",0,5
3,"pre",1.2,5
4,"pre",28.5,5
5,"pre",6.8,5
6,"pre",6.8,5
7,"pre",8.7,5
8,"pre",7,5
9,"pre",4.8,5
1,"stim",34.4,5
2,"stim",0.3,5
3,"stim",0,5
4,"stim",28.1,5
5,"stim",0,5
6,"stim",0,5
7,"stim",8.7,5
8,"stim",0.1,5
9,"stim",5.6,5
1,"post",34.3,5
2,"post",0,5
3,"post",0.1,5
4,"post",27.9,5
5,"post",7.1,5
6,"post",7.1,5
7,"post",7.9,5
8,"post",7.5,5
9,"post",6,5
1,"pre",34.6,6
2,"pre",0.2,6
3,"pre",1.3,6
4,"pre",27.4,6
5,"pre",6.5,6
6,"pre",6.5,6
7,"pre",8.8,6
8,"pre",6.5,6
9,"pre",3.6,6
1,"stim",33.9,6
2,"stim",0.2,6
3,"stim",0,6
4,"stim",26.5,6
5,"stim",0,6
6,"stim",0,6
7,"stim",9.8,6
8,"stim",0,6
9,"stim",5.3,6
1,"post",33.9,6
2,"post",0.2,6
3,"post",0.1,6
4,"post",26.7,6
5,"post",6.8,6
6,"post",6.8,6
7,"post",8.4,6
8,"post",6.9,6
9,"post",5.4,6
1,"pre",34.6,7
2,"pre",0.3,7
3,"pre",1.8,7
4,"pre",26.6,7
5,"pre",6.6,7
6,"pre",6.6,7
7,"pre",8.9,7
8,"pre",6.4,7
9,"pre",4.6,7
1,"stim",34.5,7
2,"stim",0,7
3,"stim",0.1,7
4,"stim",24.9,7
5,"stim",0,7
6,"stim",0,7
7,"stim",8.4,7
8,"stim",0.2,7
9,"stim",6.3,7
1,"post",34.1,7
2,"post",0.1,7
3,"post",0.4,7
4,"post",25.5,7
5,"post",6.8,7
6,"post",6.8,7
7,"post",7.7,7
8,"post",6.7,7
9,"post",4.1,7
1,"pre",33.9,8
2,"pre",0.2,8
3,"pre",1.4,8
4,"pre",25.3,8
5,"pre",6.5,8
6,"pre",6.5,8
7,"pre",8.8,8
8,"pre",6.5,8
9,"pre",4.3,8
1,"stim",33.7,8
2,"stim",0.2,8
3,"stim",0.1,8
4,"stim",24.6,8
5,"stim",0.2,8
6,"stim",0.2,8
7,"stim",8.6,8
8,"stim",0.2,8
9,"stim",6.3,8
1,"post",33.6,8
2,"post",0,8
3,"post",0.1,8
4,"post",24.6,8
5,"post",7.3,8
6,"post",7.3,8
7,"post",7.8,8
8,"post",7.4,8
9,"post",3.1,8
1,"pre",34.2,9
2,"pre",0,9
3,"pre",0.9,9
4,"pre",23.6,9
5,"pre",7.5,9
6,"pre",7.5,9
7,"pre",8.6,9
8,"pre",7.5,9
9,"pre",2.8,9
1,"stim",33.7,9
2,"stim",0.3,9
3,"stim",0,9
4,"stim",24,9
5,"stim",0.2,9
6,"stim",0.2,9
7,"stim",8.4,9
8,"stim",0.3,9
9,"stim",4.4,9
1,"post",34.1,9
2,"post",0.4,9
3,"post",0.1,9
4,"post",23.2,9
5,"post",7.1,9
6,"post",7.1,9
7,"post",7.9,9
8,"post",7.2,9
9,"post",4.2,9
