"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",13.1322068935487,1
2,"pre",NA,1
3,"pre",NA,1
4,"pre",12.0517470041911,1
5,"pre",NA,1
6,"pre",21.857773154974,1
7,"pre",22.9651416778564,1
8,"pre",22.3591070402236,1
9,"pre",11.2405584199088,1
10,"pre",NA,1
11,"pre",19.0167617797852,1
12,"pre",17.3687782287598,1
13,"pre",14.6352700034341,1
14,"pre",12.4981013168523,1
15,"pre",17.6020152568817,1
16,"pre",15.8145055648608,1
17,"pre",14.0603033937054,1
1,"stim",13.1136870352214,1
2,"stim",NA,1
3,"stim",13.0251483917236,1
4,"stim",12.6696852275303,1
5,"stim",14.0487198829651,1
6,"stim",21.7568311126311,1
7,"stim",24.6135563850403,1
8,"stim",NA,1
9,"stim",11.3268650107914,1
10,"stim",NA,1
11,"stim",13.1180349985758,1
12,"stim",NA,1
13,"stim",14.2128043174744,1
14,"stim",NA,1
15,"stim",16.6105531345714,1
16,"stim",18.0518112182617,1
17,"stim",14.0920706617421,1
1,"post",12.8097057848942,1
2,"post",13.8274092431796,1
3,"post",15.1983892946358,1
4,"post",12.5440783366351,1
5,"post",14.3881830241945,1
6,"post",19.4208676220552,1
7,"post",17.7887971253812,1
8,"post",21.1917591486798,1
9,"post",11.6839963243646,1
10,"post",15.7186751827117,1
11,"post",13.4807132072682,1
12,"post",18.1080566939052,1
13,"post",14.6829217170757,1
14,"post",13.0798890448985,1
15,"post",17.1932178150483,1
16,"post",14.74378807691,1
17,"post",13.2896762382172,1
1,"pre",13.060863673687,10
2,"pre",14.2874097824097,10
3,"pre",NA,10
4,"pre",11.8047933578491,10
5,"pre",14.072735786438,10
6,"pre",21.8125919787522,10
7,"pre",22.4628124237061,10
8,"pre",22.3419561271208,10
9,"pre",11.3661545440555,10
10,"pre",15.8701292673747,10
11,"pre",15.8698275429862,10
12,"pre",20.9629852111081,10
13,"pre",14.5518192727882,10
14,"pre",12.5051178300237,10
15,"pre",17.6814443406605,10
16,"pre",15.9281359513601,10
17,"pre",13.6463189586516,10
1,"stim",12.3191129631466,10
2,"stim",NA,10
3,"stim",NA,10
4,"stim",12.4322099685669,10
5,"stim",13.9766721725464,10
6,"stim",21.6938977993236,10
7,"stim",22.0782786970228,10
8,"stim",NA,10
9,"stim",11.746965465261,10
10,"stim",17.1222002506256,10
11,"stim",14.0853406832768,10
12,"stim",NA,10
13,"stim",NA,10
14,"stim",12.9886328379313,10
15,"stim",17.6016170667565,10
16,"stim",14.7117319107056,10
17,"stim",14.5518993695577,10
1,"post",12.8242091760726,10
2,"post",13.811268873382,10
3,"post",15.1853758760555,10
4,"post",12.5457677205404,10
5,"post",14.3881830241945,10
6,"post",19.4198321144115,10
7,"post",17.5842822914714,10
8,"post",21.1926844607081,10
9,"post",11.6857598282559,10
10,"post",15.6481116649716,10
11,"post",13.430616662147,10
12,"post",17.9757383676798,10
13,"post",14.684829464569,10
14,"post",13.0801815435244,10
15,"post",17.1702120057427,10
16,"post",14.7397039310681,10
17,"post",13.292937517446,10
1,"pre",13.2521535976824,2
2,"pre",15.7460746765137,2
3,"pre",13.0251483917236,2
4,"pre",11.9741826057434,2
5,"pre",13.5653209686279,2
