"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",7.5,1
2,"pre",0.4,1
3,"pre",2.3,1
4,"pre",6.6,1
5,"pre",5.7,1
6,"pre",1.3,1
7,"pre",0.3,1
8,"pre",0.1,1
9,"pre",0,1
10,"pre",0,1
11,"pre",3.1,1
12,"pre",0,1
13,"pre",7.6,1
14,"pre",1,1
15,"pre",3.2,1
16,"pre",1.1,1
17,"pre",3,1
18,"pre",0.2,1
19,"pre",1.5,1
20,"pre",4.2,1
21,"pre",0.9,1
22,"pre",0.2,1
23,"pre",2.7,1
24,"pre",0.2,1
25,"pre",0.1,1
26,"pre",4.2,1
27,"pre",0,1
28,"pre",0.1,1
29,"pre",6,1
30,"pre",0,1
1,"stim",13.4,1
2,"stim",2.1,1
3,"stim",8.9,1
4,"stim",16,1
5,"stim",20.5,1
6,"stim",1.9,1
7,"stim",5.3,1
8,"stim",4,1
9,"stim",3.2,1
10,"stim",0.2,1
11,"stim",5.1,1
12,"stim",0.8,1
13,"stim",22.1,1
14,"stim",4.9,1
15,"stim",4.9,1
16,"stim",2.1,1
17,"stim",2.8,1
18,"stim",0.8,1
19,"stim",7.7,1
20,"stim",2.2,1
21,"stim",0.2,1
22,"stim",0,1
23,"stim",3.2,1
24,"stim",0,1
25,"stim",0.1,1
26,"stim",4.8,1
27,"stim",0.4,1
28,"stim",2.5,1
29,"stim",18.3,1
30,"stim",2,1
1,"post",7.9,1
2,"post",0.1,1
3,"post",0.3,1
4,"post",10.2,1
5,"post",5.8,1
6,"post",2,1
7,"post",1.1,1
8,"post",0.6,1
9,"post",0,1
10,"post",0.3,1
11,"post",4.4,1
12,"post",0,1
13,"post",5.9,1
14,"post",1,1
15,"post",4.9,1
16,"post",0.8,1
17,"post",3.1,1
18,"post",1.3,1
19,"post",3.5,1
20,"post",4.8,1
21,"post",0.5,1
22,"post",0.2,1
23,"post",3.6,1
24,"post",0.5,1
25,"post",0.2,1
26,"post",4.8,1
27,"post",0,1
28,"post",0.8,1
29,"post",7.9,1
30,"post",0.1,1
1,"pre",7.8,2
2,"pre",0,2
3,"pre",0.2,2
4,"pre",9.5,2
5,"pre",7.5,2
6,"pre",2.7,2
7,"pre",1.8,2
8,"pre",1.6,2
9,"pre",0,2
10,"pre",0.2,2
11,"pre",4.2,2
12,"pre",0,2
13,"pre",4,2
14,"pre",0.8,2
15,"pre",6.6,2
16,"pre",1,2
17,"pre",2.9,2
18,"pre",2.2,2
19,"pre",1.8,2
20,"pre",3.8,2
21,"pre",0.6,2
22,"pre",0.2,2
23,"pre",1.5,2
24,"pre",0.1,2
25,"pre",0.2,2
26,"pre",3.7,2
27,"pre",0,2
28,"pre",0.4,2
29,"pre",5.6,2
30,"pre",0,2
1,"stim",12,2
2,"stim",2.1,2
3,"stim",7.3,2
4,"stim",9.8,2
5,"stim",19.4,2
6,"stim",2.4,2
7,"stim",6.5,2
8,"stim",5,2
9,"stim",2.7,2
10,"stim",0.2,2
11,"stim",3.9,2
12,"stim",0.9,2
13,"stim",20.3,2
14,"stim",6,2
15,"stim",8.3,2
16,"stim",2.3,2
17,"stim",2.3,2
18,"stim",3,2
19,"stim",7,2
20,"stim",3.6,2
21,"stim",0.2,2
22,"stim",0.3,2
23,"stim",4.3,2
24,"stim",0.4,2
25,"stim",0.4,2
26,"stim",4.7,2
27,"stim",0.3,2
28,"stim",1.6,2
29,"stim",15.5,2
30,"stim",1.1,2
1,"post",7.7,2
2,"post",0.2,2
3,"post",0.2,2
4,"post",10.3,2
5,"post",3.4,2
6,"post",0.7,2
7,"post",1.2,2
8,"post",1,2
9,"post",0,2
10,"post",0.1,2
11,"post",3.7,2
12,"post",0,2
13,"post",4.5,2
