"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",15.2886233329773,1
2,"pre",26.6023867470878,1
3,"pre",27.155064231471,1
4,"pre",17.1925785541534,1
5,"pre",20.0666499137878,1
6,"pre",20.4106303128329,1
7,"pre",14.2343502044678,1
8,"pre",43.3613503196023,1
9,"pre",21.6518216133118,1
10,"pre",19.3429815853343,1
11,"pre",19.7121372620265,1
12,"pre",21.9844875335693,1
13,"pre",26.6011103675479,1
14,"pre",18.4178458622524,1
15,"pre",18.9737320379777,1
16,"pre",19.593446969986,1
17,"pre",NA,1
18,"pre",22.7390613555908,1
19,"pre",NA,1
20,"pre",13.2403270721436,1
21,"pre",14.9432298660278,1
22,"pre",13.860629717509,1
23,"pre",31.4997163500105,1
24,"pre",16.8718395233154,1
25,"pre",37.2361493544145,1
26,"pre",14.1229767799377,1
27,"pre",50.0293844814958,1
28,"pre",16.2162719454084,1
29,"pre",19.229455947876,1
30,"pre",19.7725877761841,1
31,"pre",17.4363664627075,1
32,"pre",15.8234817504883,1
33,"pre",59.0645669082115,1
34,"pre",NA,1
35,"pre",15.107549349467,1
36,"pre",15.3946440219879,1
37,"pre",25.0662360191345,1
38,"pre",22.0224437713623,1
39,"pre",17.4136095046997,1
40,"pre",16.6883900165558,1
41,"pre",15.9720058441162,1
42,"pre",28.6559216181437,1
43,"pre",36.4705963134766,1
44,"pre",39.7844883845403,1
45,"pre",16.2508976835954,1
46,"pre",13.4798583984375,1
47,"pre",16.9729978561401,1
48,"pre",47.2797890981038,1
49,"pre",20.9126041412354,1
50,"pre",58.3433050817373,1
51,"pre",21.0842933654785,1
52,"pre",20.5564858572824,1
53,"pre",49.2306177956717,1
54,"pre",22.4182357788086,1
55,"pre",18.6060812756732,1
56,"pre",23.1072483062744,1
57,"pre",26.6438542175293,1
58,"pre",NA,1
59,"pre",NA,1
60,"pre",18.0937493642171,1
61,"pre",24.6181755065918,1
62,"pre",32.4425625271267,1
63,"pre",16.4407958984375,1
64,"pre",16.0719904218401,1
1,"stim",NA,1
2,"stim",NA,1
3,"stim",31.1132289038764,1
4,"stim",NA,1
5,"stim",NA,1
6,"stim",27.8799233870073,1
7,"stim",NA,1
8,"stim",NA,1
9,"stim",18.6538036891392,1
10,"stim",20.5141155275248,1
11,"stim",19.9496815421365,1
12,"stim",17.1860909461975,1
13,"stim",NA,1
14,"stim",NA,1
15,"stim",NA,1
16,"stim",NA,1
17,"stim",24.2216081619263,1
18,"stim",17.8920745849609,1
19,"stim",NA,1
20,"stim",NA,1
21,"stim",NA,1
22,"stim",NA,1
23,"stim",NA,1
24,"stim",14.3346576690674,1
25,"stim",NA,1
26,"stim",NA,1
27,"stim",NA,1
28,"stim",NA,1
29,"stim",17.7732810974121,1
30,"stim",14.3804416656494,1
31,"stim",NA,1
32,"stim",NA,1
33,"stim",NA,1
34,"stim",21.3066463470459,1
35,"stim",NA,1
36,"stim",NA,1
37,"stim",NA,1
38,"stim",NA,1
39,"stim",NA,1
40,"stim",NA,1
41,"stim",16.5072221755981,1
42,"stim",NA,1
43,"stim",NA,1
44,"stim",38.9967094421387,1
45,"stim",NA,1
46,"stim",NA,1
47,"stim",NA,1
48,"stim",47.7578976949056,1
49,"stim",NA,1
50,"stim",NA,1
51,"stim",NA,1
52,"stim",NA,1
53,"stim",NA,1
54,"stim",NA,1
55,"stim",16.1149835586548,1
56,"stim",NA,1
57,"stim",NA,1
58,"stim",NA,1
59,"stim",NA,1
60,"stim",NA,1
61,"stim",20.745596408844,1
62,"stim",NA,1
63,"stim",NA,1
64,"stim",16.0396530628204,1
1,"post",NA,1
2,"post",NA,1
3,"post",30.6080604061004,1
4,"post",NA,1
5,"post",NA,1
6,"post",21.4220855500963,1
7,"post",NA,1
8,"post",43.4114534287226,1
9,"post",NA,1
10,"post",19.8774537062034,1
11,"post",22.1533546447754,1
12,"post",NA,1
13,"post",28.60948071113,1
14,"post",NA,1
15,"post",17.9520406723022,1
16,"post",NA,1
17,"post",NA,1
18,"post",15.121768951416,1
19,"post",NA,1
20,"post",16.0559577941895,1
21,"post",14.5793495178223,1
22,"post",NA,1
23,"post",36.1792901357015,1
24,"post",12.4421186447144,1
25,"post",NA,1
26,"post",NA,1
27,"post",50.2626256942749,1
28,"post",14.8297557830811,1
29,"post",NA,1
30,"post",18.0339937210083,1
31,"post",NA,1
32,"post",16.0726178487142,1
33,"post",59.1699800491333,1
34,"post",21.9963855743408,1
35,"post",NA,1
36,"post",NA,1
37,"post",25.4574890136719,1
38,"post",20.0464677810669,1
39,"post",16.8270920753479,1
40,"post",17.5377089977264,1
41,"post",18.5284878867013,1
42,"post",NA,1
43,"post",NA,1
44,"post",41.73595532504,1
45,"post",NA,1
46,"post",16.0394916534424,1
47,"post",14.8535442352295,1
48,"post",49.0630115932888,1
49,"post",NA,1
50,"post",59.5218817392985,1
51,"post",NA,1
52,"post",NA,1
53,"post",NA,1
54,"post",NA,1
55,"post",18.1331276549506,1
56,"post",15.0883838653564,1
57,"post",32.0724840164185,1
58,"post",NA,1
59,"post",16.6785535812378,1
60,"post",NA,1
61,"post",19.2237205505371,1
62,"post",33.6273605823517,1
63,"post",NA,1
64,"post",NA,1
1,"pre",18.0476383682865,2
2,"pre",26.9914704731532,2
3,"pre",51.6711974673801,2
4,"pre",27.8391170501709,2
5,"pre",28.5293869219328,2
6,"pre",26.0279071331024,2
7,"pre",20.1694893307156,2
8,"pre",59.1798320863305,2
9,"pre",40.7647613756584,2
10,"pre",19.3372823764116,2
11,"pre",21.1259438991547,2
12,"pre",20.710531108982,2
13,"pre",28.3958831787109,2
14,"pre",18.939754486084,2
15,"pre",23.9329018063015,2
16,"pre",17.639232635498,2
17,"pre",17.0931510925293,2
18,"pre",17.7566571765476,2
19,"pre",18.0574369430542,2
20,"pre",14.7823077545166,2
21,"pre",14.6649608612061,2
22,"pre",18.537744585673,2
23,"pre",16.7252990722656,2
24,"pre",20.3633365631104,2
25,"pre",33.9909915924072,2
26,"pre",16.6371593475342,2
27,"pre",17.1319398880005,2
28,"pre",33.4681843651666,2
29,"pre",16.8737215995789,2
30,"pre",52.0286201477051,2
31,"pre",17.4919718106588,2
32,"pre",15.8376270929972,2
33,"pre",18.2596521377563,2
34,"pre",15.7577524185181,2
35,"pre",33.1532412738335,2
36,"pre",33.714616884504,2
37,"pre",41.2258746498509,2
38,"pre",17.9359675816127,2
39,"pre",17.2159034729004,2
40,"pre",44.2219091142927,2
41,"pre",18.1838166713715,2
42,"pre",23.1744346618652,2
43,"pre",23.6871351095346,2
44,"pre",26.1306728363037,2
45,"pre",20.6673346757889,2
