"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",0.2,1
2,"pre",2.1,1
3,"pre",3.8,1
4,"pre",0.4,1
5,"pre",0.4,1
6,"pre",4.4,1
7,"pre",0.3,1
8,"pre",2.2,1
9,"pre",0.4,1
10,"pre",8.5,1
11,"pre",2.4,1
12,"pre",0.3,1
13,"pre",2.1,1
14,"pre",0.7,1
15,"pre",4.4,1
16,"pre",0.4,1
17,"pre",0,1
18,"pre",0.2,1
19,"pre",0,1
20,"pre",0.5,1
21,"pre",0.5,1
22,"pre",0.3,1
23,"pre",0.7,1
24,"pre",0.3,1
25,"pre",2.2,1
26,"pre",0.4,1
27,"pre",2.9,1
28,"pre",1.4,1
29,"pre",0.2,1
30,"pre",0.6,1
31,"pre",0.5,1
32,"pre",0.5,1
33,"pre",2.9,1
34,"pre",0,1
35,"pre",0.6,1
36,"pre",0.4,1
37,"pre",2.4,1
38,"pre",0.4,1
39,"pre",0.8,1
40,"pre",2.4,1
41,"pre",0.8,1
42,"pre",2.4,1
43,"pre",3.4,1
44,"pre",1.3,1
45,"pre",3.8,1
46,"pre",0.1,1
47,"pre",0.5,1
48,"pre",3,1
49,"pre",0.5,1
50,"pre",4.9,1
51,"pre",0.4,1
52,"pre",0.7,1
53,"pre",1.4,1
54,"pre",0.2,1
55,"pre",14.3,1
56,"pre",0.1,1
57,"pre",2.5,1
58,"pre",0,1
59,"pre",0,1
60,"pre",0.3,1
61,"pre",0.3,1
62,"pre",0.9,1
63,"pre",0.1,1
64,"pre",0.7,1
1,"stim",0,1
2,"stim",0,1
3,"stim",0.9,1
4,"stim",0,1
5,"stim",0,1
6,"stim",1.1,1
7,"stim",0,1
8,"stim",0,1
9,"stim",0.7,1
10,"stim",5.9,1
11,"stim",1.1,1
12,"stim",0.4,1
13,"stim",0,1
14,"stim",0,1
15,"stim",0,1
16,"stim",0,1
17,"stim",0.2,1
18,"stim",0.1,1
19,"stim",0,1
20,"stim",0,1
21,"stim",0,1
22,"stim",0,1
23,"stim",0,1
24,"stim",0.1,1
25,"stim",0,1
