"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",40.2679061889648,1
2,"pre",22.1814117431641,1
3,"pre",13.8240922741774,1
4,"pre",17.6925873184204,1
5,"pre",14.6157421923395,1
6,"pre",23.5412964869027,1
7,"pre",16.3041058778763,1
8,"pre",15.9794207486239,1
9,"pre",16.1429756164551,1
10,"pre",19.2176380157471,1
11,"pre",NA,1
12,"pre",25.549729607322,1
13,"pre",16.2146771748861,1
14,"pre",44.4841835715554,1
15,"pre",24.3973598480225,1
16,"pre",NA,1
17,"pre",43.5095286369324,1
18,"pre",17.987274646759,1
19,"pre",17.9940722329276,1
20,"pre",21.8467540740967,1
21,"pre",67.451045696552,1
22,"pre",21.8658030033112,1
23,"pre",39.1081893920898,1
24,"pre",34.9728326797485,1
25,"pre",21.7393362643945,1
26,"pre",19.9486067559984,1
27,"pre",13.7961693803469,1
28,"pre",25.2973113987181,1
29,"pre",20.3764321337041,1
30,"pre",22.1626293182373,1
31,"pre",NA,1
32,"pre",27.0602915415507,1
33,"pre",16.2482949977613,1
34,"pre",26.1492663416369,1
35,"pre",21.7705134739951,1
36,"pre",NA,1
37,"pre",24.0303115844727,1
38,"pre",26.0726995235536,1
39,"pre",64.5604527791341,1
40,"pre",18.8228289484978,1
41,"pre",20.0414867401123,1
42,"pre",20.2415949168958,1
43,"pre",19.1474995613098,1
44,"pre",NA,1
1,"stim",NA,1
2,"stim",16.8165729840597,1
3,"stim",14.121952963547,1
4,"stim",19.852903842926,1
5,"stim",13.6751499529238,1
6,"stim",22.5394188950701,1
7,"stim",18.7497231960297,1
8,"stim",17.3583562850952,1
9,"stim",18.8872801462809,1
10,"stim",27.0614380836487,1
11,"stim",NA,1
12,"stim",27.280295753479,1
13,"stim",NA,1
14,"stim",27.9023933410645,1
15,"stim",NA,1
16,"stim",NA,1
17,"stim",41.6166839599609,1
18,"stim",15.1898012161255,1
19,"stim",23.5515150590376,1
20,"stim",23.4561813354492,1
21,"stim",NA,1
22,"stim",19.6304912567139,1
23,"stim",45.3141237894694,1
24,"stim",29.5381889343262,1
25,"stim",20.5138520384735,1
26,"stim",21.205040408719,1
27,"stim",13.4022097587585,1
28,"stim",24.6514808354753,1
29,"stim",20.3889624277751,1
30,"stim",NA,1
31,"stim",NA,1
32,"stim",28.561833799931,1
33,"stim",15.9215811320714,1
34,"stim",14.7004442214966,1
35,"stim",25.1260224855863,1
36,"stim",NA,1
37,"stim",NA,1
38,"stim",NA,1
39,"stim",NA,1
40,"stim",21.6561954498291,1
41,"stim",22.7889165878296,1
42,"stim",24.0258276197645,1
43,"stim",15.730357170105,1
44,"stim",18.8469715118408,1
1,"post",38.4329624176025,1
2,"post",23.1606485366821,1
3,"post",13.762110884863,1
4,"post",18.7655639648438,1
5,"post",14.0024143023924,1
6,"post",22.2315991460061,1
7,"post",18.0701456069946,1
8,"post",17.9261455535889,1
9,"post",NA,1
10,"post",27.1509733200073,1
11,"post",NA,1
12,"post",25.0375433741389,1
13,"post",15.6994886398315,1
14,"post",NA,1
15,"post",NA,1
16,"post",NA,1
17,"post",NA,1
18,"post",14.5811128616333,1
19,"post",23.8070554733276,1
20,"post",23.1867427825928,1
21,"post",64.8672981262207,1
22,"post",21.814094543457,1
23,"post",44.8834023909135,1
24,"post",NA,1
25,"post",22.1902435897687,1
26,"post",21.365306854248,1
27,"post",14.2735312912199,1
28,"post",27.25024777367,1
29,"post",22.6757402420044,1
30,"post",18.5446424484253,1
31,"post",15.3625564575195,1
32,"post",34.3398038482666,1
33,"post",16.9037148128046,1
34,"post",29.6839506966727,1
35,"post",24.3800454573198,1
36,"post",NA,1
37,"post",26.8743698120117,1
38,"post",31.1759452819824,1
39,"post",41.2618827819824,1
40,"post",25.2544018881662,1
41,"post",NA,1
42,"post",22.8382392883301,1
43,"post",23.5029926300049,1
44,"post",22.0190811157227,1
1,"pre",13.8716357549032,2
2,"pre",26.365465927124,2
3,"pre",14.7687790393829,2
4,"pre",35.7312088012695,2
5,"pre",35.4894380569458,2
6,"pre",24.1348481178284,2
7,"pre",34.0828858665798,2
8,"pre",19.1770334243774,2
9,"pre",30.7860662526098,2
10,"pre",24.1600402069092,2
11,"pre",26.0421924591064,2
12,"pre",25.0056839213652,2
13,"pre",10.4157535317656,2
14,"pre",NA,2
15,"pre",24.5629806518555,2
16,"pre",23.2791862487793,2
17,"pre",38.8676719665527,2
18,"pre",48.3253088951111,2
19,"pre",25.8025833476673,2
20,"pre",38.1839819821444,2
21,"pre",67.6686995370047,2
22,"pre",22.0292991262967,2
23,"pre",37.7170126778739,2
24,"pre",25.9878867467244,2
25,"pre",40.1235730307443,2
26,"pre",26.6207817340719,2
27,"pre",18.1602751413981,2
28,"pre",19.0400780515468,2
29,"pre",16.9559691677923,2
30,"pre",17.1583164691925,2
31,"pre",40.9796600341797,2
32,"pre",13.7685703701443,2
1,"stim",17.2604026794434,2
2,"stim",26.3716859817505,2
3,"stim",16.2279744678073,2
4,"stim",42.7090377807617,2
5,"stim",34.9270935058594,2
6,"stim",21.2323436737061,2
7,"stim",42.8515195846558,2
8,"stim",24.0822649002075,2
9,"stim",31.2379493713379,2
10,"stim",31.5978698730469,2
11,"stim",NA,2
12,"stim",NA,2
13,"stim",13.849452302811,2
14,"stim",NA,2
15,"stim",NA,2
16,"stim",NA,2
17,"stim",NA,2
18,"stim",NA,2
19,"stim",18.5187931060791,2
20,"stim",41.9019374847412,2
21,"stim",NA,2
22,"stim",NA,2
23,"stim",45.444694519043,2
24,"stim",14.5649137496948,2
25,"stim",40.44372982449,2
26,"stim",36.5133819580078,2
27,"stim",NA,2
28,"stim",18.7737042404885,2
29,"stim",19.3897108470692,2
30,"stim",NA,2
31,"stim",NA,2
32,"stim",16.1209493875504,2
1,"post",15.5343421300252,2
2,"post",29.3328754425049,2
3,"post",14.8330629750302,2
4,"post",35.0052383422852,2
5,"post",NA,2
6,"post",25.094194984436,2
7,"post",33.961996905009,2
8,"post",20.2977313995361,2
9,"post",30.9065091609955,2
10,"post",25.5881973902384,2
11,"post",NA,2
12,"post",25.6156287467343,2
13,"post",10.480983774346,2
14,"post",NA,2
15,"post",NA,2
16,"post",NA,2
17,"post",17.2813477516174,2
18,"post",50.5969742911203,2
19,"post",26.557045618693,2
20,"post",39.8380886077881,2
21,"post",88.6609802246094,2
22,"post",22.527296559564,2
23,"post",40.6462827095619,2
24,"post",32.452935218811,2
25,"post",43.302458190918,2
26,"post",26.9085353851318,2
27,"post",19.8138541308316,2
28,"post",19.5245372013873,2
29,"post",17.0180724495336,2
30,"post",17.8659184319632,2
31,"post",45.2443659305573,2
32,"post",13.6236516634623,2
1,"pre",25.2005113601685,3
2,"pre",25.4643955230713,3
3,"pre",14.7258093833923,3
4,"pre",36.8976501464844,3
5,"pre",51.9320755004883,3
6,"pre",22.3267097473145,3
7,"pre",34.0942577474258,3
8,"pre",20.6429514884949,3
9,"pre",31.3068580627441,3
10,"pre",26.8848473140172,3
11,"pre",NA,3
12,"pre",25.4115287139352,3
13,"pre",10.589421255644,3
14,"pre",49.5987586975098,3
15,"pre",NA,3
16,"pre",39.9153251647949,3
17,"pre",28.2938966751099,3
18,"pre",49.7560275463348,3
19,"pre",24.6357208887736,3
20,"pre",37.5275731520219,3
21,"pre",60.5007748603821,3
22,"pre",21.546067515506,3
23,"pre",41.23174231393,3
24,"pre",26.66583887736,3
25,"pre",40.9687387803022,3
26,"pre",26.7157069239123,3
27,"pre",18.3678119023641,3
28,"pre",17.8826388758282,3
29,"pre",16.702508266936,3
30,"pre",17.708334003176,3
31,"pre",44.7740642713464,3
32,"pre",13.8985904057821,3
1,"stim",58.8017906775841,3
2,"stim",33.4145668029785,3
3,"stim",16.3958653344048,3
4,"stim",NA,3
5,"stim",NA,3
6,"stim",24.2061983744303,3
7,"stim",28.8978564739227,3
8,"stim",NA,3
9,"stim",NA,3
10,"stim",27.4575097560883,3
11,"stim",NA,3
12,"stim",29.4330005645752,3
13,"stim",12.5745297908783,3
14,"stim",NA,3
15,"stim",NA,3
16,"stim",31.1845785776774,3
17,"stim",20.1862125396729,3
18,"stim",50.7555656433105,3
19,"stim",NA,3
20,"stim",NA,3
21,"stim",NA,3
22,"stim",NA,3
23,"stim",NA,3
24,"stim",28.0134735107422,3
25,"stim",42.3566017150879,3
26,"stim",NA,3
27,"stim",22.0636653900146,3
28,"stim",20.7069188835695,3
29,"stim",18.1793833323887,3
30,"stim",14.4496383666992,3
31,"stim",NA,3
32,"stim",14.6009041468302,3
1,"post",23.0607092115614,3
2,"post",24.6059446334839,3
3,"post",14.0025445764715,3
4,"post",35.5495176315308,3
5,"post",NA,3
6,"post",27.1779260635376,3
7,"post",32.0581327438355,3
8,"post",22.5060092078315,3
9,"post",29.9483253359795,3
10,"post",26.4446096420288,3
11,"post",NA,3
12,"post",24.4604580721517,3
13,"post",10.5631157403351,3
14,"post",NA,3
15,"post",NA,3
16,"post",33.4415307044983,3
17,"post",28.1683836936951,3
18,"post",47.1277062816005,3
19,"post",25.7529479980469,3
20,"post",37.0772029331752,3
21,"post",58.9524841308594,3
22,"post",21.4125667207696,3
23,"post",40.5171754082968,3
24,"post",29.0100996494293,3
25,"post",42.3124613554581,3
26,"post",26.4053799889304,3
27,"post",17.9209162226894,3
28,"post",18.0919466134978,3
29,"post",17.409878765453,3
30,"post",16.8073931421552,3
31,"post",43.5212535858154,3
32,"post",14.9961971483733,3
1,"pre",20.0556252797445,4
2,"pre",46.2541231858103,4
3,"pre",31.0696773529053,4
4,"pre",18.2339041479703,4
5,"pre",18.0235249110631,4
6,"pre",16.5678367614746,4
7,"pre",16.4158292545992,4
8,"pre",30.0545320510864,4
9,"pre",21.3763529459635,4
10,"pre",13.7789827493521,4
11,"pre",49.4760550109433,4
12,"pre",17.8324661254883,4
13,"pre",29.181357161204,4
14,"pre",31.5378958185514,4
15,"pre",NA,4
16,"pre",15.1383678799584,4
17,"pre",53.7250394185384,4
18,"pre",15.6515464782715,4
19,"pre",71.7549536568778,4
20,"pre",41.228910446167,4
21,"pre",26.3843781607492,4
22,"pre",36.300368048928,4
23,"pre",22.9084883451462,4
24,"pre",14.6994544665019,4
25,"pre",22.3509744156239,4
26,"pre",19.1353432791574,4
1,"stim",26.1592311859131,4
2,"stim",46.6746044158936,4
3,"stim",19.7851066589355,4
4,"stim",22.484520594279,4
5,"stim",17.7836317954125,4
6,"stim",NA,4
7,"stim",19.6902006348567,4
8,"stim",39.2767419815063,4
9,"stim",26.9240102767944,4
10,"stim",14.4588094438825,4
11,"stim",52.3330785836746,4
12,"stim",NA,4
13,"stim",29.5819630622864,4
14,"stim",32.6468807969774,4
15,"stim",NA,4
16,"stim",13.8795539538066,4
17,"stim",56.7597589492798,4
18,"stim",NA,4
19,"stim",NA,4
20,"stim",45.5307450975691,4
21,"stim",NA,4
22,"stim",42.6335792541504,4
23,"stim",31.1402057011922,4
24,"stim",13.9954654693604,4
25,"stim",18.1842632293701,4
26,"stim",22.0079019697089,4
1,"post",23.3030242919922,4
2,"post",46.8848215738932,4
3,"post",31.7217762205336,4
4,"post",16.6916964848836,4
5,"post",16.1086978132075,4
6,"post",18.2190341949463,4
7,"post",17.9786667567427,4
8,"post",32.1580078727321,4
9,"post",16.6678787867228,4
10,"post",14.1354532241821,4
11,"post",46.0931031414282,4
12,"post",17.2381788889567,4
13,"post",28.3846891948155,4
14,"post",28.5522019837492,4
15,"post",NA,4
16,"post",15.2752116845579,4
17,"post",53.9543846531918,4
18,"post",14.448052406311,4
19,"post",65.6981383732387,4
20,"post",40.9582413991292,4
21,"post",24.8286425726754,4
22,"post",35.0792774927048,4
23,"post",22.9285016417503,4
24,"post",13.8392475975884,4
25,"post",21.5873349637401,4
26,"post",19.9054865027374,4
1,"pre",20.6500998905727,5
2,"pre",42.0289361887965,5
3,"pre",31.6615697787358,5
4,"pre",23.849896589915,5
5,"pre",14.5967383914524,5
6,"pre",16.6030345916748,5
7,"pre",17.4912359763165,5
8,"pre",31.8889953068324,5
9,"pre",23.4919357299805,5
10,"pre",14.6051759719849,5
11,"pre",39.2854556774271,5
12,"pre",18.0008573532104,5
13,"pre",28.5147877518012,5
14,"pre",24.6202328701814,5
15,"pre",NA,5
16,"pre",14.0308866903815,5
17,"pre",52.5891624733254,5
18,"pre",13.9659202098846,5
19,"pre",66.866751352946,5
20,"pre",39.0392110131004,5
21,"pre",25.8091854682335,5
22,"pre",35.8554526148616,5
23,"pre",21.1385401283822,5
24,"pre",13.8116927146912,5
25,"pre",19.8274304204517,5
26,"pre",18.6311296768188,5
1,"stim",21.1401557922363,5
2,"stim",47.952392578125,5
3,"stim",35.624656867981,5
4,"stim",17.1160799662272,5
5,"stim",13.9374220166888,5
6,"stim",NA,5
7,"stim",18.7949872571369,5
8,"stim",31.3540868759155,5
9,"stim",20.3738621303013,5
10,"stim",15.6555216312408,5
11,"stim",37.7673548918504,5
12,"stim",NA,5
13,"stim",29.6496937433879,5
14,"stim",22.1303404461254,5
15,"stim",80.826171875,5
16,"stim",13.5416963053685,5
17,"stim",56.8256694248744,5
18,"stim",NA,5
19,"stim",77.6640752156575,5
20,"stim",40.1135487122969,5
21,"stim",28.4080225626628,5
22,"stim",37.845238494873,5
23,"stim",25.3217897781959,5
24,"stim",13.6152920722961,5
25,"stim",21.5498247146606,5
26,"stim",19.4982145309448,5
1,"post",20.2564969062805,5
2,"post",42.6964218552048,5
3,"post",35.5328574180603,5
4,"post",21.4089117611156,5
5,"post",16.2293125788371,5
6,"post",16.314199924469,5
7,"post",17.594808562728,5
8,"post",31.0314239004384,5
9,"post",23.5571090698242,5
10,"post",13.9568165265597,5
11,"post",31.7158998156351,5
12,"post",21.0640344619751,5
13,"post",27.2404393860788,5
14,"post",18.9330305112036,5
15,"post",87.2920761108398,5
16,"post",12.4542401487177,5
17,"post",52.6614013151689,5
18,"post",15.539454460144,5
19,"post",62.5633106231689,5
20,"post",36.2467983647397,5
21,"post",24.5267556797374,5
22,"post",35.1528268587791,5
23,"post",20.7043894183251,5
24,"post",14.086780721491,5
25,"post",19.873558750859,5
26,"post",17.6070929560168,5
