"Neuron_ID","Condition","Firing_Rate","Trial"
1,"pre",0.8,1
2,"pre",2,1
3,"pre",20.5,1
4,"pre",2.5,1
5,"pre",13.4,1
6,"pre",9.9,1
7,"pre",0.8,1
8,"pre",1.1,1
9,"pre",0.5,1
10,"pre",0.1,1
11,"pre",0,1
12,"pre",4.4,1
13,"pre",0.3,1
14,"pre",1.1,1
15,"pre",0.1,1
16,"pre",0,1
17,"pre",0.4,1
18,"pre",0.4,1
19,"pre",0.7,1
20,"pre",0.2,1
21,"pre",1.3,1
22,"pre",2,1
23,"pre",8.5,1
24,"pre",0.2,1
25,"pre",13.7,1
26,"pre",5.4,1
27,"pre",4.8,1
28,"pre",14.4,1
29,"pre",9.7,1
30,"pre",1,1
31,"pre",0,1
32,"pre",16.7,1
33,"pre",13.1,1
34,"pre",2.9,1
35,"pre",6.3,1
36,"pre",0,1
37,"pre",0.2,1
38,"pre",4.1,1
39,"pre",0.3,1
40,"pre",1.6,1
41,"pre",0.1,1
42,"pre",1.9,1
43,"pre",0.4,1
44,"pre",0,1
1,"stim",0,1
2,"stim",1.2,1
3,"stim",14.2,1
4,"stim",0.6,1
5,"stim",8.1,1
6,"stim",8.2,1
7,"stim",0.4,1
8,"stim",1,1
9,"stim",0.3,1
10,"stim",0.4,1
11,"stim",0,1
12,"stim",1,1
13,"stim",0,1
14,"stim",0.1,1
15,"stim",0,1
16,"stim",0,1
17,"stim",0.1,1
18,"stim",0.1,1
19,"stim",1.1,1
20,"stim",0.5,1
21,"stim",0,1
22,"stim",0.1,1
23,"stim",0.3,1
24,"stim",0.1,1
25,"stim",10.6,1
26,"stim",3.1,1
27,"stim",5,1
28,"stim",8.9,1
29,"stim",0.3,1
30,"stim",0,1
31,"stim",0,1
32,"stim",11.4,1
33,"stim",9.8,1
34,"stim",0.1,1
35,"stim",2.6,1
36,"stim",0,1
37,"stim",0,1
38,"stim",0,1
39,"stim",0,1
40,"stim",1,1
41,"stim",0.2,1
42,"stim",0.9,1
43,"stim",0.1,1
44,"stim",0.1,1
1,"post",0.6,1
2,"post",1.5,1
3,"post",13.1,1
4,"post",1.1,1
5,"post",8.8,1
6,"post",9.8,1
7,"post",0.2,1
8,"post",0.1,1
9,"post",0,1
10,"post",1,1
11,"post",0,1
12,"post",3.7,1
13,"post",0.1,1
14,"post",0,1
15,"post",0,1
16,"post",0,1
17,"post",0,1
18,"post",0.1,1
19,"post",0.4,1
20,"post",0.7,1
21,"post",0.2,1
22,"post",0.1,1
23,"post",2.2,1
24,"post",0,1
25,"post",10.9,1
26,"post",1.1,1
27,"post",7.2,1
28,"post",8.4,1
29,"post",2.5,1
30,"post",0.2,1
31,"post",0.1,1
